web_scraper_order,web_scraper_start_url,category,name,price,image,url
"1784115791-1","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Earring - Ceramic
UBFAEC00242","NPR149","https://www.cgdigital.com.np/api/images/products/ex6XLa_1757833677-UB_FA_EC_00242.png","https://cgdigital.com.np/product-earring---ceramic-4280"
"1784115791-2","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar House Incense Holder - Yellow
UBSWHIH00227","NPR549","https://www.cgdigital.com.np/api/images/products/KanVoR_1757832140-UB_SW_HIH_00227.png","https://cgdigital.com.np/product-house-incense-holder---yellow-4278"
"1784115791-3","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Glass Candle
UBSWGC00224","NPR349","https://www.cgdigital.com.np/api/images/products/tDppW6_1757828142-UB_SW_GC_00224.png","https://cgdigital.com.np/product-glass-candle-4277"
"1784115791-4","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Painted Candle . small
UBSWPC00223","NPR499","https://www.cgdigital.com.np/api/images/products/mIGd0M_1757827774-UB_SW_PC_00223.png","https://cgdigital.com.np/product-painted-candle---small-4276"
"1784115791-5","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Elephant Diffuser
UBSWED00217","NPR649","https://www.cgdigital.com.np/api/images/products/1B6ITG_1757827448-UB_SW_ED_00217.png","https://cgdigital.com.np/product-elephant-diffuser-4275"
"1784115791-6","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Lotus candle Diffuser
UBSWLD00216","NPR699","https://www.cgdigital.com.np/api/images/products/sbRATT_1757827092-UB_SW_LD_00216.png","https://cgdigital.com.np/product-lotus-candle-diffuser-4274"
"1784115791-7","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Normal Diffuser
UBSWND00214","NPR699","https://www.cgdigital.com.np/api/images/products/2NUYAi_1757826701-UB_SW_ND_00214.png","https://cgdigital.com.np/product-normal-diffuser-4272"
"1784115791-8","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Leaf candle Holder
UBSWLCH00213","NPR299","https://www.cgdigital.com.np/api/images/products/wNxrpU_1757826531-UB_SW_LCH_00213.png","https://cgdigital.com.np/product-leaf-candle-holder-4271"
"1784115791-9","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Fish Incense Holder
UBSWFIH00209","NPR199","https://www.cgdigital.com.np/api/images/products/NnZzRf_1757826294-UB_SW_FIH_00209.png","https://cgdigital.com.np/product-fish-incense-holder-4270"
"1784115791-10","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Elephant incense holder
UBSWEIH00278","NPR149","https://www.cgdigital.com.np/api/images/products/VeS9sp_1757675966-UB_SW_EIH_00278.png","https://cgdigital.com.np/product-elephant-incense-holder-4269"
"1784115791-11","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Sun incense Holder
UBSWSIH00207","NPR299","https://www.cgdigital.com.np/api/images/products/DOXsJK_1757675754-UB_SW_SIH_00207.png","https://cgdigital.com.np/product-sun-incense-holder-4268"
"1784115791-12","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Lotus Incense Holder
UBSWLIH00204","NPR399","https://www.cgdigital.com.np/api/images/products/iiLNZh_1757675632-UB_SW_LIH_00204.png","https://cgdigital.com.np/product-lotus-incense-holder-4267"
"1784115791-13","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Stone Painting
UBSRSP00203","NPR599","","https://cgdigital.com.np/product-stone-painting-4266"
"1784115791-14","https://cgdigital.com.np/","https://cgdigital.com.np/sub-unnati-bazaar-110","Unnati Bazaar Laxmi : Small God Laxmi
UBSRLS00201","NPR349","","https://cgdigital.com.np/product-laxmi-:-small-god-laxmi-4265"
