web_scraper_order,web_scraper_start_url,brand,name,price,url,image
"1784123682-1","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=137","Mon Paris Eau De Parfum 30ml","Rs 15,000","https://koreanbeautypoint.com/shop/ysl-mon-parfum-30ml-mon-paris-eau-de-parfum-30ml-5226","https://koreanbeautypoint.com/web/image/product.product/9214/image_1024/%5Bysl%20mon%20parfum%2030ml%5D%20Mon%20Paris%20Eau%20De%20Parfum%2030ml?unique=097f965"
"1784123682-2","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=137","Black Opium Eau De Parfum 50ml","Rs 15,000","https://koreanbeautypoint.com/shop/ysl-black-opium-50ml-black-opium-eau-de-parfum-50ml-5224","https://koreanbeautypoint.com/web/image/product.product/9212/image_1024/%5Bysl%20black%20opium%2050ml%5D%20Black%20Opium%20Eau%20De%20Parfum%2050ml?unique=c01d2bc"
"1784123682-3","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=137","Libre Eau De Parfum 1.2ml Mini","Rs 1,500","https://koreanbeautypoint.com/shop/ysl-libre-mini-libre-eau-de-parfum-12ml-mini-5225","https://koreanbeautypoint.com/web/image/product.product/9213/image_1024/%5Bysl%20libre%20mini%5D%20Libre%20Eau%20De%20Parfum%201.2ml%20Mini?unique=171216e"
"1784123695-4","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=176","Vegan Pack Cleanser Jumbo-Yujamong","Rs 2,000","https://koreanbeautypoint.com/shop/whipped-vegan-jumbo-cleanser-vegan-pack-cleanser-jumbo-yujamong-8748","https://koreanbeautypoint.com/web/image/product.product/15506/image_1024/%5Bwhipped%20vegan%20jumbo%20cleanser%5D%20Vegan%20Pack%20Cleanser%20Jumbo-Yujamong?unique=60c206e"
"1784123718-5","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=135","5% Nicotinamide Essence Whitening Body Lotion-Peach","Rs 2,800","https://koreanbeautypoint.com/shop/watercome-peach-lotion-5-nicotinamide-essence-whitening-body-lotion-peach-8767","https://koreanbeautypoint.com/web/image/product.product/15525/image_1024/%5Bwatercome%20peach%20lotion%5D%205%25%20Nicotinamide%20Essence%20Whitening%20Body%20Lotion-Peach?unique=60c206e"
"1784123718-6","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=135","Alpha Hydroxy Acid(AHA) Rejuvenating Scrub Cream","Rs 1,800","https://koreanbeautypoint.com/shop/alpha-hydroxy-acidaha-rejuvenating-scrub-cream-8764","https://koreanbeautypoint.com/web/image/product.product/15740/image_1024/%5Bwatercome%20pomelo%20scrub%5D%20Alpha%20Hydroxy%20Acid%28AHA%29%20Rejuvenating%20Scrub%20Cream%20%28Pomelo%29?unique=d47f5ac"
"1784123718-7","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=135","Moisturizing Fragrance Shower Gel","Rs 2,500","https://koreanbeautypoint.com/shop/moisturizing-fragrance-shower-gel-8762","https://koreanbeautypoint.com/web/image/product.product/15743/image_1024/%5Bwatercome%20flower%20shower%20gel%5D%20Moisturizing%20Fragrance%20Shower%20Gel%20%28Flower%29?unique=55d672c"
"1784123718-8","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=135","Alpha Hydroxy Acid (AHA) Rejuvenating Body Lotion - Pomelo","Rs 2,800","https://koreanbeautypoint.com/shop/watercome-pomelo-lotion-alpha-hydroxy-acid-aha-rejuvenating-body-lotion-pomelo-8757","https://koreanbeautypoint.com/web/image/product.product/15515/image_1024/%5Bwatercome%20pomelo%20lotion%5D%20Alpha%20Hydroxy%20Acid%20%28AHA%29%20Rejuvenating%20Body%20Lotion%20-%20Pomelo?unique=433b209"
"1784123718-9","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=135","Alpha Hydroxy Acid AHA Essence Body Lotion 220g","Rs 2,600","https://koreanbeautypoint.com/shop/watercome-aha-body-lotion-alpha-hydroxy-acid-aha-essence-body-lotion-220g-5219","https://koreanbeautypoint.com/web/image/product.product/9197/image_1024/%5Bwatercome%20AHA%20body%20lotion%5D%20Alpha%20Hydroxy%20Acid%20AHA%20Essence%20Body%20Lotion%20220g?unique=affe57f"
"1784123730-10","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=14","Cica No Sebum Powder","Rs 1,200","https://koreanbeautypoint.com/shop/cica-no-sebum-powder-4502","https://koreanbeautypoint.com/web/image/product.product/8126/image_1024/%5Bvt%20no%20sebum%20mild%20powder%5D%20Cica%20No%20Sebum%20Powder%20%28Mild%29?unique=3814b2f"
"1784123730-11","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=14","PDRN Reedle Shot Hair Ampoule 300dl 15ml","Rs 6,800","https://koreanbeautypoint.com/shop/vt-reedle-shot-hair-amp-pdrn-reedle-shot-hair-ampoule-300dl-15ml-5211","https://koreanbeautypoint.com/web/image/product.product/9188/image_1024/%5Bvt%20reedle%20shot%20hair%20amp%5D%20PDRN%20Reedle%20Shot%20Hair%20Ampoule%20300dl%2015ml?unique=affe57f"
"1784123730-12","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=14","Reedle Shot Lifting Eye Cream 15ml","Rs 3,600","https://koreanbeautypoint.com/shop/vt-reedle-shot-eye-cream-reedle-shot-lifting-eye-cream-15ml-5210","https://koreanbeautypoint.com/web/image/product.product/9187/image_1024/%5Bvt%20reedle%20shot%20eye%20cream%5D%20Reedle%20Shot%20Lifting%20Eye%20Cream%2015ml?unique=324b38c"
"1784123730-13","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=14","PDRN Essence 100 30ml","Rs 4,300","https://koreanbeautypoint.com/shop/vt-pdrn-essence-100-pdrn-essence-100-30ml-5206","https://koreanbeautypoint.com/web/image/product.product/9183/image_1024/%5Bvt%20PDRN%20essence%20100%5D%20PDRN%20Essence%20100%2030ml?unique=3814b2f"
"1784123730-14","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=14","PDRN Essence Stick Balm 9.5g","Rs 3,000","https://koreanbeautypoint.com/shop/vt-pdrn-balm-pdrn-essence-stick-balm-95g-5205","https://koreanbeautypoint.com/web/image/product.product/9182/image_1024/%5Bvt%20PDRN%20balm%5D%20PDRN%20Essence%20Stick%20Balm%209.5g?unique=d84a8ff"
